Device              Tesla K20c
Compatibility       3.5
clockRate (MHz)     705
memClockRate (MHz)  2600

  fft    max exp  ms/iter
 1024   19535569   1.1700
 1296   24599717   1.2159
 1372   26010389   1.4536
 1568   29640913   1.4650
 1600   30232693   1.5916
 1728   32597297   1.6993
 2000   37609879   1.7844
 2048   38492887   1.9093
 2160   40551479   2.3581
 2592   48471289   2.3883
 2744   51250889   2.8092
 2800   52274087   3.0084
 3136   58404433   3.0171
 3200   59570449   3.4376
 3240   60298969   3.4879
 4000   74106457   3.5989
 4096   75846319   3.6788
 4320   79902611   4.6260
 4374   80879779   4.7287
 4500   83158811   4.7395
 4536   83809729   4.8019
 5184   95507747   4.9003
 5292   97454309   5.6810
 5488  100984691   5.7504
 5600  103000823   6.0576
 5832  107174381   6.1783
 6000  110194363   6.3198
 6048  111056879   6.5877
 6125  112440191   6.5914
 6144  112781477   6.6828
 6250  114685037   6.6941
 6272  115080019   6.7127
 6400  117377567   6.8078
 6480  118813021   6.8863
 6561  120266023   6.9524
 6750  123654943   7.0950
 7776  142017539   7.1775
 8000  146019329   7.4798
 8192  149447533   7.6077
