Device              Tesla K20X
Compatibility       3.5
clockRate (MHz)     732
memClockRate (MHz)  2600

  fft    max exp  ms/iter
    1      22133   0.0424
    2      43633   0.0450
    4      85933   0.0479
    8     169409   0.0611
   16     333803   0.0670
   20     415253   0.0739
   24     496343   0.0752
   25     516589   0.0754
   32     657719   0.0756
   36     738083   0.0825
   40     818239   0.0839
   56    1137271   0.0890
   64    1296011   0.0947
   72    1454273   0.1058
   80    1612249   0.1132
   81    1631969   0.1170
   96    1927129   0.1176
  100    2005673   0.1218
  112    2240863   0.1298
  125    2495071   0.1490
  128    2553659   0.1499
  135    2690201   0.1666
  160    3176779   0.1729
  162    3215629   0.1944
  175    3467923   0.2192
  200    3951977   0.2236
  216    4261051   0.2494
  224    4415431   0.2565
  256    5031737   0.2745
  288    5646379   0.3366
  324    6336103   0.3737
  392    7634537   0.4107
  400    7786967   0.4476
  448    8700169   0.5061
  500    9687091   0.5697
  512    9914521   0.5827
  576   11125619   0.6451
  648   12484649   0.6927
  686   13200581   0.8124
  800   15343429   0.8224
  864   16543493   0.9316
 1000   19087451   1.0208
 1024   19535569   1.1202
 1040   19834193   1.2999
 1296   24599717   1.3676
 1372   26010389   1.5930
 1568   29640913   1.6443
 1600   30232693   1.7368
 1728   32597297   1.8804
 2000   37609879   2.0022
 2048   38492887   2.0731
 2160   40551479   2.5703
 2187   41047411   2.6033
 2592   48471289   2.6142
 2744   51250889   2.9758
 3136   58404433   3.2363
 3200   59570449   3.6834
 3240   60298969   3.7308
 3375   62756279   3.8522
 4096   75846319   3.9343
 4320   79902611   4.9463
 4374   80879779   4.9979
 4500   83158811   5.0995
 4536   83809729   5.1364
 4608   85111207   5.2446
 5184   95507747   5.2685
 5488  100984691   5.9111
 5600  103000823   6.4560
 5832  107174381   6.5475
 6000  110194363   6.7916
 6144  112781477   6.9207
 6250  114685037   7.0080
 6272  115080019   7.0539
 6400  117377567   7.1745
 6480  118813021   7.2819
 6561  120266023   7.3354
 6750  123654943   7.5491
 7776  142017539   7.6360
 8000  146019329   7.9967
 8192  149447533   8.0581
